Software Quality Control Engineer,Bnsights -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Automation · Quality Control · Selenium · Software Development · Software · ISTQB,https://wuzzuf.net/jobs/p/4Wi1CulnZdHz-Software-Quality-Control-Engineer-Bnsights-Cairo-Egypt?o=44&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Quality Control Engineer,eVision -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Information Systems · Software Testing · Quality Control · QC · ISTQB · Information Technology (IT),https://wuzzuf.net/jobs/p/vszGv2EXOu2P-Software-Quality-Control-Engineer-eVision-Cairo-Egypt?o=45&l=sp&t=sj&a=software engineer|search-v3|hpb
job title,company name,location,skills,links
Software Quality Control Engineer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software · Software Testing · Testing · Agile · Automation · Quality Control · Quality Assurance,https://wuzzuf.net/jobs/p/CJTJhQhmmsGz-Software-Quality-Control-Engineer-Perfect-Presentation-Giza-Egypt?o=46&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Quality Control Engineer,3S Software -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · API · Automation · Automation Testing · Computer Science · Engineering · Quality Control,https://wuzzuf.net/jobs/p/bZHRrPAx5Ovn-Software-Quality-Control-Engineer-3S-Software-Cairo-Egypt?o=47&l=sp&t=sj&a=software engineer|search-v3|hpb
C++ Software Engineer,Atomica -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C · Computer Science · C++ · Software Development · Software engineer · Software Engineering · Mathematics · Programming,https://wuzzuf.net/jobs/p/O7Fhl2CSYPLP-C-Software-Engineer-Atomica-Cairo-Egypt?o=48&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Development Engineer - Test [SDET],Testing Geeks -,"Dokki, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Selenium · Computer Science · Agile · Information Technology (IT) · Java · Software Development · Software Engineering · Testing,https://wuzzuf.net/jobs/p/19XpjPobvuCd-Software-Development-Engineer---Test-SDET-Testing-Geeks-Giza-Egypt?o=49&l=sp&t=sj&a=software engineer|search-v3|hpb
Lead Software Engineer,Nacita -,"Cairo, Egypt ",Full TimeManager · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Engineer · Software Lead · Senior Software Engineer · Senior Software · Senior Full Stack · Software Manager · Software · Computer Science,https://wuzzuf.net/jobs/p/XLYsZRDTz7xd-Lead-Software-Engineer-Nacita-Cairo-Egypt?o=50&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Software Engineer - GoLang,Andela -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Computer Science · Design · Information Technology (IT) · Software Development · Software Engineering · Engineering · Docker,https://wuzzuf.net/jobs/p/VB4qenfvUxNW-Senior-Software-Engineer---GoLang-Andela-Cairo-Egypt?o=51&l=sp&t=sj&a=software engineer|search-v3|hpb
Financial Software Engineer (C#),SSC Egypt -,"Cairo, Egypt ","Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft SQL Server · Software Engineering · C# · ,Net · Software Development · SQL Server · T-SQL · Database",https://wuzzuf.net/jobs/p/iqhzyASe8aTX-Financial-Software-Engineer-C-SSC-Egypt-Cairo-Egypt?o=52&l=sp&t=sj&a=software engineer|search-v3|hpb
Software Quality Control Team Leader,Neom Tech -,"Maadi, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Computer Science · Information Technology (IT) · Management · Quality Control · Engineering · Scrum,https://wuzzuf.net/jobs/p/GxIkMagHxiTu-Software-Quality-Control-Team-Leader-Neom-Tech-Cairo-Egypt?o=53&l=sp&t=sj&a=software engineer|search-v3|hpb
Backend Software Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · AWS · SQL · backend · Cloud · TDD · APIs · Computer Science,https://wuzzuf.net/jobs/p/DPPsMij6kcwY-Backend-Software-Engineer-Python-FlairsTech-Cairo-Egypt?o=54&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript,https://wuzzuf.net/jobs/p/RsF7SJENqbb2-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=55&l=sp&t=sj&a=software engineer|search-v3|hpb
Software System Architect,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Architecture · AWS · Computer Engineering · Computer Science · Development · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/xky29vkiylBw-Software-System-Architect-FlairsTech-Cairo-Egypt?o=56&l=sp&t=sj&a=software engineer|search-v3|hpb
