Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript,https://wuzzuf.net/jobs/p/RsF7SJENqbb2-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=39&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Developer,Flojics -,"Alexandria, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · HTML5 · Information Technology (IT) · JavaScript · Web Development · Angular · CSS3 · jQuery,https://wuzzuf.net/jobs/p/8f1Wb2ZpZhZ6-Web-Developer-Flojics-Alexandria-Egypt?o=40&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Front End Web (ReactJS) Developer,Digipalms -,"Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Design · English · JavaScript · ReactJS · Scrum · Software Development,https://wuzzuf.net/jobs/p/L9RJSB8FsYDs-Senior-Front-End-Web-ReactJS-Developer-Digipalms-Cairo-Egypt?o=41&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Software Engineer,Seedstars -,"Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Web Development · Django Framework · python development · CSS · Design · Git · HTML · SQL,https://wuzzuf.net/jobs/p/aFCsjhmtFv6L-Senior-Software-Engineer-Seedstars-Cairo-Egypt?o=42&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Full Stack PHP/Angular/React Web Developer - (REMOTE),H&H Child Care Training Center   -,"Tampa, United States ",Full TimePart TimeWork From HomeExperienced · 5 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · JavaScript · PHP · Bootstrap · React · HTML,https://wuzzuf.net/jobs/p/ddErd58jOeFF-Full-Stack-PHPAngularReact-Web-Developer---REMOTE-HH-Child-Care-Training-Center-Tampa-United-States?o=43&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Application Developer,Bedab Software -,"Nasr City, Cairo, Egypt ",Full TimePart TimeFreelance / ProjectExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Software Engineering · Program Development · ASP.Net Web API · Web Development · Information Technology (IT) · Computer Science · ASP.Net,https://wuzzuf.net/jobs/p/OOBiM4L1QSQY-Web-Application-Developer-Bedab-Software-Cairo-Egypt?o=44&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Software Quality Control Engineer,Taqneen -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · Quality Assurance · Information Technology (IT) · QC · QA · QA Automation · Computer Science,https://wuzzuf.net/jobs/p/I5a75AC8WyCR-Senior-Software-Quality-Control-Engineer-Taqneen-Cairo-Egypt?o=45&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
job title,company name,location,skills,links
,,,,
Backend Developer Node.JS,Kortobaa LLC -,"Alexandria, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Node.js · PHP · Software Development · Engineering · AWS · JavaScript,https://wuzzuf.net/jobs/p/zsknpoNSCqg8-Backend-Developer-NodeJS-Kortobaa-LLC-Alexandria-Egypt?o=46&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Network Security Engineer,Zewail City -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Network Security · Networking · Security Engineer · Security · Network,https://wuzzuf.net/jobs/p/fJL5kMMPgOjp-Network-Security-Engineer-Zewail-City-Giza-Egypt?o=47&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
.Net Back-End Developer,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Back-End Developer · back-end · Computer Science · developer · Software Development · Software Engineering · Angular · Applications,https://wuzzuf.net/jobs/p/82HgrG6izutk-Net-Back-End-Developer-Cairo-Egypt?o=48&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Back End Engineer,Softec Technologies -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · OOP · Web Development · SQL · HTML,https://wuzzuf.net/jobs/p/iJUZxiZiP2Dy-Senior-Back-End-Engineer-Softec-Technologies-Cairo-Egypt?o=49&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Developer,MWG -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · HTML · Information Technology (IT) · Java · JavaScript · NodeJS,https://wuzzuf.net/jobs/p/iHjJZt6vdxlk-Web-Developer-MWG-Cairo-Egypt?o=50&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Front End Developer,IMS -,"Rehab City, Cairo, Egypt ",Full TimePart TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS3 · CSS · HTML · Information Technology (IT) · JavaScript · Computer Science · Front end · front-end,https://wuzzuf.net/jobs/p/mpaxLFogQdBG-Senior-Front-End-Developer-IMS-Cairo-Egypt?o=51&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
