Senior Software Team Leader (.Net),Confidential -,"Maadi, Cairo, Egypt ",Full TimeManager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MVC · C# · SQL Server · MySQL · Graph DB · Entity Framework · Android · TFS,https://wuzzuf.net/jobs/p/8jxxIOz8ysAk-Senior-Software-Team-Leader-Net-Cairo-Egypt?o=42&l=sp&t=sj&a=machine learning|search-v3|hpb
Operation & Maintenance Engineer - Mechanized Agriculture,SAVOLA -,"Ameria, Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering - Other · Engineering · Mechanical Engineering · Maintenance · Automotive · Mechatronics · Heavy Equipment · Computer Skills,https://wuzzuf.net/jobs/p/3tqkOQhDwW8W-Operation-Maintenance-Engineer---Mechanized-Agriculture-SAVOLA-Alexandria-Egypt?o=43&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior DevOps Engineer,Tech SquAd -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · DevOps · Python · Docker · Jenkins · Kubernetes · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/HyXvDJ80ytXE-Senior-DevOps-Engineer-Tech-SquAd-Giza-Egypt?o=44&l=sp&t=sj&a=machine learning|search-v3|hpb
Senior BI Developer,CEPRES -,"Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · BI · Azure · Architecture · Software Development · SQL · Analysis · Computer Science · Configuration,https://wuzzuf.net/jobs/p/IUUoY497QFYj-Senior-BI-Developer-CEPRES-Giza-Egypt?o=45&l=sp&t=sj&a=machine learning|search-v3|hpb
job title,company name,location,skills,links
Secretary,Egypro FME -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · Administration · Office management · Secretary · Communication skills · Communication · Microsoft Office · Presentation Skills,https://wuzzuf.net/jobs/p/hgXNO6yAtXE9-Secretary-Egypro-FME-Cairo-Egypt?o=46&l=sp&t=sj&a=machine learning|search-v3|hpb
Data Scientist,Chefaa IT -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Intelligence · Computer Science · Data Science · data scientist · Engineering · Data · Hadoop,https://wuzzuf.net/jobs/p/4LvLq2e4LYKj-Data-Scientist-Chefaa-IT-Cairo-Egypt?o=47&l=sp&t=sj&a=machine learning|search-v3|hpb
Telesales Agent,Upgrade -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 4 Yrs of Exp · Customer Service/Support · Sales/Retail · Sales · Telesales · sales skills · Customer Service · Agent · Customer Support · Business Development · Negotiation,https://wuzzuf.net/jobs/p/8anJwRfYVBI7-Telesales-Agent-Upgrade-Cairo-Egypt?o=48&l=sp&t=sj&a=machine learning|search-v3|hpb
job title,company name,location,skills,links
job title,company name,location,skills,links
job title,company name,location,skills,links
